Word,Pron,Definition,Example,Translation_PL,Example_PL
do a/take a course in something,ˌduː ə/ˌteɪk ə ˈkɔːs ɪn ˌsʌmθɪŋ,to take part in a series of lessons in a particular subject,I’m taking a course in graphic design.,Zrób kurs z czegoś,Biorę udział w kursie projektowania graficznego.
do a degree in/qualification in something,ˌduː ə dɪˈɡriː ɪn/ˌkwɒlɪfɪˈkeɪʃn ɪn ˌsʌmθɪŋ,to take part in a course of study at a university or college in a particular subject,Sarah's doing a degree in physics.,zrobić stopień naukowy/kwalifikacje w czymś,Sarah studiuje fizykę.
get a degree in/qualification in something,ˌɡet ə dɪˈɡriː ɪn/ˌkwɒlɪfɪˈkeɪʃn ɪn ˌsʌmθɪŋ,to receive the qualification that is given to you when you have successfully completed a university or colleɡe course in a particular subject,I need to get a qualification in food hygiene and safety before I can open a café.,zdobyć stopień naukowy/kwalifikacje w czymś,"Zanim otworzę kawiarnię, muszę zdobyć kwalifikacje w zakresie higieny i bezpieczeństwa żywności."
have a degree in/qualification in something,ˌhæv ə dɪˈɡriː ɪn/ˌkwɒlɪfɪˈkeɪʃn ɪn ˌsʌmθɪŋ,to have the qualification that is given to you when you have successfully completed a university or colleɡe course in a particular subject,Applicants must have a degree in engineering.,mieć dyplom/kwalifikacje w czymś,Kandydaci muszą posiadać dyplom inżyniera.
study for a degree in/qualification in something,ˌstʌdi fər ə dɪˈɡriː ɪn/ˌkwɒlɪfɪˈkeɪʃn ɪn ˌsʌmθɪŋ,to take part in a course of study at a university or college in a particular subject,They're studying for a qualification in accountancy.,Studiuj w celu uzyskania dyplomu/kwalifikacji w czymś,"Studiują, aby uzyskać kwalifikacje z rachunkowości."
do/take an exam,ˌduː/ˌteɪk ən ɪɡˈzæm,"to do a spoken or written test of knowledge, especially an important one",We have to take exams at the end of each year.,Zrób/przystąp do egzaminu,Na koniec każdego roku musimy zdawać egzaminy.
pass an exam,ˌpɑːs ən ɪɡˈzæm,"to succeed in a spoken or written test of knowledge, especially an important one","If I pass all these exams, I'll be a qualified nurse.",zdać egzamin,"Jeśli zdam wszystkie te egzaminy, będę wykwalifikowaną pielęgniarką."
train as something,ˈtreɪn əz ˌsʌmθɪŋ,to be taught the skills of a particular job or activity,Nadia trained as a singer.,Trenuj jako coś,Nadia kształciła się jako wokalistka.
work as something,ˈwɜːk əz ˌsʌmθɪŋ,to do a job that you are paid for,She works as a cook in the army.,pracować jako coś,Pracuje jako kucharka w wojsku.
have/run your own company,ˌhæv/ˌrʌn jər əʊn ˈkʌmpəni,to own and be in charge of an organisation,Theo's dream is to run his own company.,posiadać/prowadzić własną firmę,Marzeniem Theo jest prowadzenie własnej firmy.
work for a company,ˌwɜːk fər ə ˈkʌmpəni,to do a job that you are paid for in an organisation,They both work for the same company.,Praca w firmie,Oboje pracują dla tej samej firmy.
work for yourself,ˌwɜːk fə jəˈself,to do a job that you organise yourself,He resigned from the law firm and now works for himself.,Pracuj dla siebie,Zrezygnował z pracy w kancelarii i teraz pracuje na własny rachunek.
work part time,ˌwɜːk pɑːt ˈtaɪm,someone who works part time has a job for only part of each day or week,She wants to work part time after she’s had the baby.,praca w niepełnym wymiarze godzin,Po urodzeniu dziecka chce pracować w niepełnym wymiarze godzin.
work full time,ˌwɜːk fʊl ˈtaɪm,someone who works full time has a job for all the hours of a week during which it is usual for people to work,She works full time and has two children.,praca w pełnym wymiarze godzin,Pracuje na pełny etat i ma dwójkę dzieci.
architecture,ˈɑːkɪtektʃə,the art and practice of planning and designing buildings,His architecture degree included two years working for a firm of architects.,architektura,Ukończył studia architektoniczne i przez dwa lata pracował w firmie architektonicznej.
economics,"ˌekəˈnɔmɪks, ˌiː-",the study of the way in which money and goods are produced and used,Economics is often studied with politics.,ekonomia,Ekonomia jest często studiowana razem z polityką.
engineering,ˌendʒəˈnɪərɪŋ,"the work involved in designing and building roads, bridges, machines, etc.",You need to be good at mathematics if you want to study engineering.,inżynieria,"Musisz być dobry z matematyki, jeśli chcesz studiować inżynierię."
journalism ,ˈdʒɜːnl-ɪzm,"the job or activity of writing news reports for newspapers, magazines, television or radio",She began her career in journalism working on a local newspaper.,dziennikarstwo ,Karierę dziennikarską rozpoczęła od pracy w lokalnej gazecie.
law ,lɔː,a subject of study about the whole system of rules that people in a particular country or area must obey,"She’s studying international business law, so she will spend a year in Germany as part of her course.",prawo ,"Studiuje międzynarodowe prawo gospodarcze, więc w ramach studiów spędzi rok w Niemczech."
medicine,ˈmedsən,the treatment and study of illnesses and injuries,Lucy studied medicine and now works in testing drugs.,medycyna,"Lucy studiowała medycynę, a teraz zajmuje się testowaniem leków."
politics,ˈpɒlətɪks,the study of political power and systems of government,Not all politicians studied politics at university.,polityka,Nie wszyscy politycy studiowali politologię na uniwersytecie.
science,ˈsaɪəns,"the study of knowledge about the world, especially based on examining, testing and proving facts","Statements about climate change should be based on science, not just personal opinions.",nauka,"Wypowiedzi na temat zmian klimatycznych powinny opierać się na nauce, a nie tylko na osobistych opiniach."
caring,ˈkeərɪŋ,thinking about what other people need or want and trying to help them,The school aims to provide a caring environment.,opiekuńczy,Szkoła ma na celu zapewnienie opiekuńczego środowiska.
reliable,rɪˈlaɪəbl,someone or something that is reliable can be trusted or depended on,People living in the city want a reliable bus and train service.,niezawodny,Ludzie mieszkający w mieście chcą niezawodnej komunikacji autobusowej i kolejowej.
organised,ˈɔːɡənaɪzd,"achieving your aims in a way that is effective, ordered and sensible",It will take me a few days to get organised after moving house.,Zorganizowanej,"Zajmie mi kilka dni, aby się zorganizować po przeprowadzce."
lazy,ˈleɪzi,"not liking work or physical activity, or not making any effort to do anything",Make your own breakfast! Don't be so lazy!,leniwy,Zrób własne śniadanie! Nie bądź taki leniwy!
ambitious,æmˈbɪʃəs,"determined to be successful, rich, powerful, etc.","Jacob was intensely ambitious, obsessed with the idea of becoming rich",ambitny,"Jacob był niezwykle ambitny, miał obsesję na punkcie idei wzbogacenia się"
shy,ʃaɪ,"nervous and embarrassed about meeting and speaking to other people, especially people you do not know",He was too shy to come and sit next to me in class.,nieśmiały,"Był zbyt nieśmiały, żeby przyjść i usiąść obok mnie w klasie."
confident,ˈkɒnfɪdənt,sure that you have the ability to do something well or deal with situations successfully,She seemed confident that she would pass.,pewny siebie,"Wydawała się pewna, że zda egzamin."
calm,kɑːm,"relaxed and quiet, not angry, nervous or upset",Everyone praised Douglas for the calm way in which he handled the situation.,spokój,"Wszyscy chwalili Douglasa za spokojny sposób, w jaki poradził sobie z tą sytuacją."
